,State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Unnamed: 22
0,Alabama,4849377,20727,276,1436,2005,4701,13745,154094,39715,104238,10141,427.4,5.7,29.6,41.3,96.9,283.4,3177.6,819.0,2149.5,209.1,
1,Alaska,736732,4684,41,555,771,629,3243,20334,3150,15445,1739,635.8,5.6,75.3,104.7,85.4,440.2,2760.0,427.6,2096.4,236.0,
2,Arizona,6731484,26916,319,2464,3378,6249,16970,215240,43562,154091,17587,399.9,4.7,36.6,50.2,92.8,252.1,3197.5,647.1,2289.1,261.3,
3,Arkansas,2966369,14243,165,1182,1763,2050,10265,99018,24790,68627,5601,480.1,5.6,39.8,59.4,69.1,346.0,3338.0,835.7,2313.5,188.8,
4,California,38802500,153709,1699,8398,11527,48680,91803,947192,202670,592670,151852,396.1,4.4,21.6,29.7,125.5,236.6,2441.1,522.3,1527.4,391.3,
5,Colorado,5355866,16554,151,2121,3039,3039,10325,135510,23472,99464,12574,309.1,2.8,39.6,56.7,56.7,192.8,2530.1,438.2,1857.1,234.8,
6,Connecticut,3596677,8522,86,571,782,3159,4495,69070,11955,51005,6110,236.9,2.4,15.9,21.7,87.8,125.0,1920.4,332.4,1418.1,169.9,
7,Delaware,935614,4576,54,249,386,1269,2867,27900,5768,20865,1267,489.1,5.8,26.6,41.3,135.6,306.4,2982.0,616.5,2230.1,135.4,
8,District of Columbia,658893,8199,105,352,472,3497,4125,34147,3466,26898,3783,1244.4,15.9,53.4,71.6,530.7,626.1,5182.5,526.0,4082.3,574.1,
9,Florida,19893297,107521,1149,6051,8563,24914,72895,679446,143220,493647,42579,540.5,5.8,30.4,43.0,125.2,366.4,3415.5,719.9,2481.5,214.0,
10,Georgia,10097343,38097,580,2159,3048,12417,22052,331316,76428,228034,26854,377.3,5.7,21.4,30.2,123.0,218.4,3281.2,756.9,2258.4,266.0,
11,Hawaii,1419561,3680,26,314,445,1107,2102,43297,7778,31640,3879,259.2,1.8,22.1,31.3,78.0,148.1,3050.0,547.9,2228.9,273.3,
12,Idaho,1634464,3468,32,468,609,204,2623,30316,6428,22227,1661,212.2,2.0,28.6,37.3,12.5,160.5,1854.8,393.3,1359.9,101.6,
13,Illinois,12880580,47663,685,3081,4159,15299,27520,267385,50008,199926,17451,370.0,5.3,23.9,32.3,118.8,213.7,2075.9,388.2,1552.2,135.5,
14,Indiana,6596855,24099,330,1615,2186,6897,14686,174776,36893,124022,13861,365.3,5.0,24.5,33.1,104.5,222.6,2649.4,559.3,1880.0,210.1,
15,Iowa,3107126,8497,60,828,1128,1045,6264,65056,14428,46477,4151,273.5,1.9,26.6,36.3,33.6,201.6,2093.8,464.4,1495.8,133.6,
16,Kansas,2904021,10123,91,1075,1411,1362,7259,79431,15828,56697,6906,348.6,3.1,37.0,48.6,46.9,250.0,2735.2,545.0,1952.4,237.8,
17,Kentucky,4413457,9340,160,883,1440,3336,4404,99166,23244,69604,6318,211.6,3.6,20.0,32.6,75.6,99.8,2246.9,526.7,1577.1,143.2,
18,Louisiana,4649676,23934,477,992,1375,5695,16387,160824,38337,112596,9891,514.7,10.3,21.3,29.6,122.5,352.4,3458.8,824.5,2421.6,212.7,
19,Maine,1330089,1700,21,360,485,304,890,26421,5030,20592,799,127.8,1.6,27.1,36.5,22.9,66.9,1986.4,378.2,1548.2,60.1,
20,Maryland,5976407,26661,365,1144,1619,9544,15133,149859,28012,108745,13102,446.1,6.1,19.1,27.1,159.7,253.2,2507.5,468.7,1819.6,219.2,
