month,day,births
1,1,160369
1,2,169896
1,3,180036
1,4,182854
1,5,184145
1,6,186726
1,7,188277
1,8,185186
1,9,181511
1,10,183668
1,11,187006
1,12,188032
1,13,189202
1,14,192648
1,15,189346
1,16,186601
1,17,186186
1,18,188293
1,19,189261
1,20,190701
1,21,191610
1,22,189712
1,23,186670
1,24,186128
1,25,187920
1,26,188636
1,27,189881
1,28,190872
1,29,188092
1,30,185769
1,31,183931
2,1,186458
2,2,189721
2,3,190473
2,4,190433
2,5,189132
2,6,187124
2,7,185986
2,8,186741
2,9,188543
2,10,192034
2,11,192632
2,12,192948
2,13,185576
2,14,194510
2,15,188253
2,16,189281
2,17,191707
2,18,192839
2,19,190064
2,20,190051
2,21,186860
2,22,190061
2,23,190298
2,24,193160
2,25,194281
2,26,191623
2,27,187750
2,28,187812
2,29,46420
2,30,98
2,31,77
3,1,189687
3,2,190022
3,3,194871
3,4,192862
3,5,191264
3,6,188875
3,7,188898
3,8,188729
3,9,187683
3,10,191415
3,11,191429
3,12,190497
3,13,186098
3,14,188761
3,15,186801
3,16,188147
3,17,193142
3,18,190940
3,19,189925
3,20,188654
3,21,188915
3,22,186688
3,23,187888
3,24,189002
3,25,190946
3,26,188913
3,27,187234
3,28,187786
3,29,186601
3,30,186537
3,31,188930
4,1,184953
4,2,189753
4,3,186117
4,4,187181
4,5,183473
4,6,185714
4,7,187594
4,8,188481
4,9,185995
4,10,184427
4,11,184398
4,12,183632
4,13,182379
4,14,187205
4,15,188116
4,16,186258
4,17,184176
4,18,185340
4,19,183308
4,20,183651
4,21,186257
4,22,187468
4,23,185749
4,24,183246
4,25,184090
4,26,183540
4,27,182878
4,28,186262
4,29,184530
4,30,184604
4,31,128
5,1,186051
5,2,184668
5,3,182809
5,4,183080
5,5,187492
5,6,187158
5,7,186358
5,8,184950
5,9,184354
5,10,184927
5,11,186088
5,12,187962
5,13,186466
5,14,186836
5,15,187141
5,16,186458
5,17,185069
5,18,186955
5,19,188870
5,20,192277
5,21,189032
5,22,188540
5,23,188844
5,24,187565
5,25,186477
5,26,186310
5,27,189526
5,28,186866
5,29,188162
5,30,184047
5,31,183882
6,1,190059
6,2,192186
6,3,191331
6,4,189779
6,5,188275
6,6,190874
6,7,187242
6,8,187278
6,9,191371
6,10,193255
6,11,190945
6,12,189850
6,13,186857
6,14,188978
6,15,190019
6,16,194334
6,17,194544
6,18,192651
6,19,190759
6,20,193251
6,21,190047
6,22,191825
6,23,194022
6,24,195901
6,25,195637
6,26,194159
6,27,194093
6,28,194519
6,29,195266
6,30,199264
6,31,125
7,1,200879
7,2,200858
7,3,194777
7,4,173413
7,5,187953
7,6,199380
7,7,206137
7,8,206392
7,9,203016
7,10,201652
7,11,199289
7,12,197467
7,13,197296
7,14,204240
7,15,205605
7,16,203710
7,17,201861
7,18,200012
7,19,198794
7,20,202302
7,21,203494
7,22,205427
7,23,203691
7,24,201442
7,25,201173
7,26,199948
7,27,202810
7,28,205341
7,29,206076
7,30,204049
7,31,201811
8,1,202720
8,2,200341
8,3,202610
8,4,203518
8,5,204320
8,6,204437
8,7,203307
8,8,206143
8,9,201111
8,10,203335
8,11,204169
8,12,207105
8,13,203052
8,14,203870
8,15,204260
8,16,201912
8,17,202996
8,18,205920
8,19,206136
8,20,205644
8,21,203288
8,22,202354
8,23,200282
8,24,201408
8,25,204307
8,26,206700
8,27,204988
8,28,203991
8,29,202480
8,30,201114
8,31,201946
9,1,196333
9,2,199280
9,3,200157
9,4,200536
9,5,198184
9,6,198200
9,7,199818
9,8,206619
9,9,210536
9,10,208580
9,11,206078
9,12,206433
9,13,202955
9,14,208171
9,15,210214
9,16,212915
9,17,211263
9,18,209867
9,19,210460
9,20,209931
9,21,210876
9,22,212673
9,23,212817
9,24,211362
9,25,209600
9,26,210026
9,27,207606
9,28,206738
9,29,208753
9,30,208991
9,31,201
10,1,206693
10,2,204145
10,3,202695
10,4,200207
10,5,201003
10,6,201924
10,7,200964
10,8,199595
10,9,197817
10,10,199039
10,11,194175
10,12,195737
10,13,194635
10,14,197362
10,15,196778
10,16,193138
10,17,192754
10,18,190065
10,19,191314
10,20,193313
10,21,194507
10,22,192410
10,23,190220
10,24,190351
10,25,189774
10,26,191522
10,27,192854
10,28,193044
10,29,191023
10,30,189802
10,31,186512
11,1,189192
11,2,189086
11,3,192871
11,4,193976
11,5,192323
11,6,190339
11,7,191327
11,8,190110
11,9,191365
11,10,193452
11,11,193812
11,12,191641
11,13,189313
11,14,191286
11,15,190061
11,16,190978
11,17,193696
11,18,194612
11,19,193775
11,20,192775
11,21,192033
11,22,184076
11,23,186026
11,24,185885
11,25,185992
11,26,183490
11,27,180462
11,28,183631
11,29,187069
11,30,190619
11,31,215
12,1,193460
12,2,193212
12,3,190340
12,4,188749
12,5,189387
12,6,187322
12,7,188173
12,8,192152
12,9,191753
12,10,191413
12,11,189540
12,12,191652
12,13,187067
12,14,191684
12,15,196832
12,16,198724
12,17,198064
12,18,197455
12,19,198517
12,20,195081
12,21,192644
12,22,186477
12,23,178667
12,24,165050
12,25,153778
12,26,175341
12,27,194006
12,28,201768
12,29,204806
12,30,206894
12,31,194368
