driver_race,search_conducted
Black,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
Black,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,True
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,True
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,True
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,True
White,False
White,False
White,False
White,True
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,True
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,True
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,True
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
Black,False
Black,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
Black,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,True
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
Black,False
Black,False
Black,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
Black,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,True
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,True
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,True
White,False
White,True
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,True
Black,False
White,False
White,False
White,True
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
Black,False
White,False
Black,False
White,False
Black,False
White,False
White,False
Black,False
Black,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,True
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,True
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
Black,False
White,False
Black,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,True
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
White,False
Black,False
White,False
Black,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,True
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
Black,False
White,False
Black,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
White,False
