#Uniform Crime Reporting Statistics - UCR Data Online
#http://www.ucrdatatool.gov/
#Estimated crime in United States-Total
#,,National or state crime,,,,,,,
#,,Violent crime,,,,,,,
Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
1960, 179323175,     288460,       9110,      17190,,     107840,     154320 
1961, 182992000,     289390,       8740,      17220,,     106670,     156760 
1962, 185771000,     301510,       8530,      17550,,     110860,     164570 
1963, 188483000,     316970,       8640,      17650,,     116470,     174210 
1964, 191141000,     364220,       9360,      21420,,     130390,     203050 
1965, 193526000,     387390,       9960,      23410,,     138690,     215330 
1966, 195576000,     430180,      11040,      25820,,     157990,     235330 
1967, 197457000,     499930,      12240,      27620,,     202910,     257160 
1968, 199399000,     595010,      13800,      31670,,     262840,     286700 
1969, 201385000,     661870,      14760,      37170,,     298850,     311090 
1970, 203235298,     738820,      16000,      37990,,     349860,     334970 
1971, 206212000,     816500,      17780,      42260,,     387700,     368760 
1972, 208230000,     834900,      18670,      46850,,     376290,     393090 
1973, 209851000,     875910,      19640,      51400,,     384220,     420650 
1974, 211392000,     974720,      20710,      55400,,     442400,     456210 
1975, 213124000,   1039710,      20510,      56090,,     470500,     492620 
1976, 214659000,   1004210,      18780,      57080,,     427810,     500530 
1977, 216332000,   1029580,      19120,      63500,,     412610,     534350 
1978, 218059000,   1085550,      19560,      67610,,     426930,     571460 
1979, 220099000,   1208030,      21460,      76390,,     480700,     629480 
1980, 225349264,   1344520,      23040,      82990,,     565840,     672650 
1981, 229465714,   1361820,      22520,      82500,,     592910,     663900 
1982, 231664458,   1322390,      21010,      78770,,     553130,     669480 
1983, 233791994,   1258087,      19308,      78918,,     506567,     653294 
1984, 235824902,   1273282,      18692,      84233,,     485008,     685349 
1985, 237923795,   1327767,      18976,      87671,,     497874,     723246 
1986, 240132887,   1489169,      20613,      91459,,     542775,     834322 
1987, 242288918,   1483999,      20096,      91111,,     517704,     855088 
1988, 244498982,   1566221,      20675,      92486,,     542968,     910092 
1989, 246819230,   1646037,      21500,      94504,,     578326,     951707 
1990, 249464396,   1820127,      23438,     102555,,     639271,   1054863 
1991, 252153092,   1911767,      24703,     106593,,     687732,   1092739 
1992, 255029699,   1932274,      23760,     109062,,     672478,   1126974 
1993, 257782608,   1926017,      24526,     106014,,     659870,   1135607 
1994, 260327021,   1857670,      23326,     102216,,     618949,   1113179 
1995, 262803276,   1798792,      21606,      97470,,     580509,   1099207 
1996, 265228572,   1688540,      19645,      96252,,     535594,   1037049 
1997, 267783607,   1636096,      18208,      96153,,     498534,   1023201 
1998, 270248003,   1533887,      16974,      93144,,     447186,     976583 
1999, 272690813,   1426044,      15522,      89411,,     409371,     911740 
2000, 281421906,   1425486,      15586,      90178,,     408016,     911706 
2001, 285317559,   1439480,      16037,      90863,,     423557,     909023 
2002, 287973924,   1423677,      16229,      95235,,     420806,     891407 
2003, 290788976,   1383676,      16528,      93883,,     414235,     859030 
2004, 293656842,   1360088,      16148,      95089,,     401470,     847381 
2005, 296507061,   1390745,      16740,      94347,,     417438,     862220 
2006, 299398484,   1435123,      17309,      94472,,     449246,     874096 
2007, 301621157,   1422970,      17128,      92160,,     447324,     866358 
2008, 304059724,   1394461,      16465,      90750,,     443563,     843683 
2009, 307006550,   1325896,      15399,      89241,,     408742,     812514 
2010, 309330219,   1251248,      14722,      85593,,     369089,     781844 
2011, 311587816,   1206031,      14661,      84175,,     354772,     752423 
2012, 313873685,   1217067,      14866,      85141,,     355051,     762009 
2013, 316497531,   1199684,      14319,      82109,     113695,     345095,     726575 
2014, 318857056,   1197987,      14249,      84041,     116645,     325802,     741291 
